City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,minas de marcona,-15.2119,-75.1103,15.3,60,2,8.03,PE,1726347422
237,faya-largeau,17.9257,19.1043,36.23,16,14,4.76,TD,1726347424
238,arraial do cabo,-22.9661,-42.0278,26.92,65,0,2.57,BR,1726347425
239,fortaleza,-3.7227,-38.5247,28.37,87,20,5.66,BR,1726347217
240,lagoa,39.05,-27.9833,22.54,70,16,1.73,PT,1726347428
241,kourou,5.1552,-52.6478,27.31,77,4,4.64,GF,1726347429
242,tabou,4.423,-7.3528,24.47,81,62,4.22,CI,1726347430
243,pangoa,-12.1167,-73.0,32.65,34,63,2.64,PE,1726347431
244,castrocaro terme e terra del sole,44.1824,11.9556,17.19,68,94,2.36,IT,1726347433
245,saint-louis,16.3333,-15.0,33.27,48,84,3.15,SN,1726347280
246,tabas,33.5959,56.9244,27.39,15,25,3.19,IR,1726347435
247,kirakira,-10.4544,161.9205,26.47,87,65,3.1,SB,1726347305
248,mongar,27.2747,91.2396,18.88,94,96,2.29,BT,1726347438
249,tralee,52.2704,-9.7026,14.08,98,100,2.33,IE,1726347439
250,santiago de cao,-7.9589,-79.2392,18.07,77,32,6.17,PE,1726347440
251,nadvoitsy,63.8667,34.3167,15.94,71,92,2.85,RU,1726347442
252,miyaly,48.8844,53.7836,17.98,45,3,4.73,KZ,1726347443
253,tazovsky,67.4667,78.7,0.04,76,5,3.3,RU,1726347444
254,hohhot,40.8106,111.6522,12.16,76,20,0.0,CN,1726347447
255,vorkuta,67.5,64.0,12.36,94,7,4.36,RU,1726347448
256,gandorhun,7.5,-11.8333,23.26,95,31,1.16,SL,1726347450
257,constantia,44.1833,28.65,16.5,61,46,7.44,RO,1726347100
258,mount pearl,47.5166,-52.7813,12.3,85,100,7.72,CA,1726347170
259,inari,68.906,27.0288,7.24,70,100,0.29,FI,1726347454
260,laguna,38.421,-121.4238,32.91,32,0,3.09,US,1726347455
261,choibalsan,48.0667,114.5,11.1,40,72,5.54,MN,1726347456
262,sanandaj,35.3144,46.9923,23.01,23,0,2.06,IR,1726347303
263,yaring,6.8662,101.3689,25.67,84,100,4.23,TH,1726347459
264,flying fish cove,-10.4217,105.6791,24.82,88,75,4.12,CX,1726347460
265,manaquiri,-3.3167,-60.35,35.54,32,100,0.84,BR,1726347461
266,odugattur,12.7667,78.9,24.94,69,100,3.0,IN,1726347462
267,andergrove,-21.0833,149.1833,19.82,67,5,6.09,AU,1726347464
268,fort st. john,56.2499,-120.8529,15.94,59,75,5.14,CA,1726347235
269,bathsheba,13.2167,-59.5167,31.34,74,20,6.17,BB,1726347466
270,burang,30.25,81.1667,3.79,76,24,1.33,CN,1726347468
271,kimbe,-5.5502,150.1429,24.96,91,62,1.85,PG,1726347076
272,port-vila,-17.7338,168.3219,23.78,100,100,1.03,VU,1726347471
273,plast,54.3691,60.8136,10.77,90,10,2.69,RU,1726347472
274,champerico,14.3,-91.9167,30.27,70,9,3.5,GT,1726347474
275,pisco,-13.7,-76.2167,21.03,60,0,3.6,PE,1726347043
276,laon,49.5667,3.6667,10.44,70,53,1.79,FR,1726347477
277,makoua,0.0069,15.6333,23.65,94,100,0.91,CG,1726347479
278,khovd,48.0056,91.6419,6.36,38,0,0.96,MN,1726347480
279,taco pozo,-25.6167,-63.2833,27.0,16,85,3.19,AR,1726347481
